id,symbol,price,side,volume,high,low,max_profit,max_loss,,
15701651,XRPUSDT,0.4287,1,230.8,0.4272,0.4142,3.3466,-0.3462,,
15701652,XRPUSDT,0.4287,1,297.2,0.4272,0.4142,4.3094,-0.4458,,
15701653,XRPUSDT,0.4287,1,230.7,0.4272,0.4142,3.34515,-0.34605,,
15701654,XRPUSDT,0.4287,1,175.5,0.4272,0.4142,2.54475,-0.26325,,
15701655,XRPUSDT,0.4286,1,230.8,0.4272,0.4142,3.32352,-0.32312,,
15701657,XRPUSDT,0.4284,2,1026.2,0.4272,0.4142,-1.23144,14.57204,,
15701658,XRPUSDT,0.4287,1,851.5,0.4272,0.4142,12.34675,-1.27725,,
15701659,XRPUSDT,0.428,1,204.2,0.4272,0.4142,2.81796,-0.16336,,
15701661,XRPUSDT,0.4279,1,230.9,0.4272,0.4142,3.16333,-0.16163,,
15701662,XRPUSDT,0.428,1,230.9,0.4272,0.4142,3.18642,-0.18472,,
15701664,XRPUSDT,0.428,2,961,0.4272,0.4142,-0.7688,13.2618,,
15701665,XRPUSDT,0.4282,1,230.7,0.4272,0.4142,3.2298,-0.2307,,
15701667,XRPUSDT,0.4282,1,231.1,0.4272,0.4142,3.2354,-0.2311,,
15701669,XRPUSDT,0.4286,1,231,0.4272,0.4142,3.3264,-0.3234,,
15701670,XRPUSDT,0.4287,1,231,0.4272,0.4142,3.3495,-0.3465,,
15701671,XRPUSDT,0.4286,1,231,0.4272,0.4142,3.3264,-0.3234,,
15701672,XRPUSDT,0.4283,1,231.1,0.4272,0.4142,3.25851,-0.25421,,
15701674,XRPUSDT,0.4285,1,173.1,0.4272,0.4142,2.47533,-0.22503,,
15701675,XRPUSDT,0.4282,1,231.1,0.4272,0.4142,3.2354,-0.2311,,
15701676,XRPUSDT,0.4281,1,826.5,0.4272,0.4142,11.48835,-0.74385,,
15701677,XRPUSDT,0.4279,2,1525.4,0.4272,0.4142,-1.06778,20.89798,,
15701678,XRPUSDT,0.4279,2,97,0.4272,0.4142,-0.0679,1.3289,,
15701679,ETHUSDT,1762.34,1,0.013,1767.12,1726.41,0.46709,0.06214,,
15701680,XRPUSDT,0.4275,1,749.4,0.4272,0.4142,9.96702,-0.22482,,
15701688,ETHUSDT,1762.57,2,0.01,1767.12,1726.41,0.0455,0.3616,,
15701690,XRPUSDT,0.4256,2,1977.1,0.4272,0.4142,3.16336,22.53894,,
15701691,XRPUSDT,0.4258,2,1538.6,0.4272,0.4142,2.15404,17.84776,,
15701696,XRPUSDT,0.4263,1,117.2,0.4272,0.4142,1.41812,0.10548,,
15701697,XRPUSDT,0.426,1,366.5,0.4272,0.4142,4.3247,0.4398,,
15701699,BTCUSDT,27892.96,2,0.0068,27909.28,27000,0.110976,6.072128,,
15701701,BTCUSDT,27892.96,2,0.0021,27909.28,27000,0.034272,1.875216,,
15701702,XRPUSDT,0.4257,1,339.3,0.4272,0.4142,3.90195,0.50895,,
15701704,XRPUSDT,0.4258,2,800,0.4272,0.4142,1.12,9.28,,
15701705,XRPUSDT,0.4258,2,1475.8,0.4272,0.4142,2.06612,17.11928,,
15701707,XRPUSDT,0.4261,2,15552,0.4272,0.4142,17.1072,185.0688,,
15701712,XRPUSDT,0.4255,2,108,0.4272,0.4142,0.1836,1.2204,,
15701713,XRPUSDT,0.4255,2,164.5,0.4272,0.4142,0.27965,1.85885,,
15701714,XRPUSDT,0.4255,2,56.5,0.4272,0.4142,0.09605,0.63845,,
15701716,XRPUSDT,0.4255,2,1330.6,0.4272,0.4142,2.26202,15.03578,,
15701717,XRPUSDT,0.4254,2,1040.6,0.4272,0.4142,1.87308,11.65472,,
15701718,XRPUSDT,0.4259,2,5673.1,0.4272,0.4142,7.37503,66.37527,,
15701720,XRPUSDT,0.4261,1,37,0.4272,0.4142,0.4403,0.0407,,
15701721,ETHUSDT,1765.63,1,0.232,1767.12,1726.41,9.09904,0.34568,,
15701722,BTCUSDT,27912.08,2,0.0042,27909.28,27000,-0.01176,3.830736,,
15701723,XRPUSDT,0.4254,1,285.3,0.4272,0.4142,3.19536,0.51354,,
15701725,XRPUSDT,0.4253,1,2048,0.4272,0.4142,22.7328,3.8912,,
15701727,XRPUSDT,0.4261,1,54.5,0.4272,0.4142,0.64855,0.05995,,
15701729,BTCUSDT,27937.01,1,0.0062,27909.28,27000,5.809462,-0.171926,,
15701730,BTCUSDT,27937,1,0.0039,27909.28,27000,3.6543,-0.108108,,
15701742,XRPUSDT,0.4262,2,164.2,0.4272,0.4142,0.1642,1.9704,,
15701743,XRPUSDT,0.4262,2,164.2,0.4272,0.4142,0.1642,1.9704,,
15701744,XRPUSDT,0.4262,2,164.2,0.4272,0.4142,0.1642,1.9704,,
15701748,XRPUSDT,0.4262,2,164.2,0.4272,0.4142,0.1642,1.9704,,
15701749,XRPUSDT,0.4262,2,164.2,0.4272,0.4142,0.1642,1.9704,,
15701750,XRPUSDT,0.4262,2,75.7,0.4272,0.4142,0.0757,0.9084,,
15701755,XRPUSDT,0.4262,2,75.7,0.4272,0.4142,0.0757,0.9084,,
15701760,XRPUSDT,0.4263,2,200,0.4272,0.4142,0.18,2.42,,
15701764,ETHUSDT,1765.23,2,0.008,1767.12,1726.41,0.01512,0.31056,,
15701765,XRPUSDT,0.425,1,21198.4,0.4272,0.4142,228.94272,46.63648,,
15701768,XRPUSDT,0.4246,2,36.2,0.4272,0.4142,0.09412,0.37648,,
15701778,XRPUSDT,0.4252,2,372,0.4272,0.4142,0.744,4.092,,
15701779,XRPUSDT,0.4251,1,3994,0.4272,0.4142,43.5346,8.3874,,
15701780,ETHUSDT,1763.2,1,0.088,1767.12,1726.41,3.23752,0.34496,,
15701781,ETHUSDT,1763.41,2,0.088,1767.12,1726.41,0.32648,3.256,,
15701782,XRPUSDT,0.4256,1,176,0.4272,0.4142,2.0064,0.2816,,
15701783,XRPUSDT,0.4262,2,5396.5,0.4272,0.4142,5.3965,64.758,,
15701790,XRPUSDT,0.4256,2,120.1,0.4272,0.4142,0.19216,1.36914,,
15701793,XRPUSDT,0.4258,2,1291.6,0.4272,0.4142,1.80824,14.98256,,
15701798,XRPUSDT,0.4254,1,230.3,0.4272,0.4142,2.57936,0.41454,,
15701799,BTCUSDT,27880.9,1,0.0019,27909.28,27000,1.67371,0.053922,,
15701803,XRPUSDT,0.4252,1,388,0.4272,0.4159,3.6084,0.776,,
15701804,XRPUSDT,0.4252,2,28,0.4272,0.4159,0.056,0.2604,,
15701806,XRPUSDT,0.4255,2,23.7,0.4272,0.4159,0.04029,0.22752,,
